region,date,variable,value
Agder,2020-07-01,bedcap,90
Agder,2020-07-01,revenue,162383
Agder,2020-07-01,revperroom,1431
Agder,2020-07-01,revsofar,314453
Agder,2020-07-01,revroomsofar,543
Agder,2020-07-01,roompricesofar,1236
Agder,2020-07-01,roomcapsofar,44
Agder,2020-07-01,bedcapsofar,35
Agder,2020-08-01,rentedrooms,62575
Agder,2020-08-01,roomprice,1179
Agder,2020-08-01,roomcap,59
Agder,2020-08-01,bedcap,49
Agder,2020-08-01,revenue,73752
Agder,2020-08-01,revperroom,691
Agder,2020-08-01,revsofar,388205
Agder,2020-08-01,revroomsofar,566
Agder,2020-08-01,roompricesofar,1225
Agder,2020-08-01,roomcapsofar,46
Agder,2020-08-01,bedcapsofar,37
Rogaland,2020-01-01,rentedrooms,101818
Rogaland,2020-01-01,roomprice,896
Rogaland,2020-01-01,roomcap,49
Rogaland,2020-01-01,bedcap,31
Rogaland,2020-01-01,revenue,91223
Rogaland,2020-01-01,revperroom,439
Rogaland,2020-01-01,revsofar,91223
Rogaland,2020-01-01,revroomsofar,439
Rogaland,2020-01-01,roompricesofar,896
Rogaland,2020-01-01,roomcapsofar,49
Rogaland,2020-01-01,bedcapsofar,31
Rogaland,2020-02-01,rentedrooms,95177
Rogaland,2020-02-01,roomprice,885
Rogaland,2020-02-01,roomcap,49
Rogaland,2020-02-01,bedcap,32
Rogaland,2020-02-01,revenue,84227
Rogaland,2020-02-01,revperroom,437
Rogaland,2020-02-01,revsofar,175450
Rogaland,2020-02-01,revroomsofar,438
Rogaland,2020-02-01,roompricesofar,891
Rogaland,2020-02-01,roomcapsofar,49
Rogaland,2020-02-01,bedcapsofar,31
Rogaland,2020-03-01,rentedrooms,52652
Rogaland,2020-03-01,roomprice,930
Rogaland,2020-03-01,roomcap,28
Rogaland,2020-03-01,bedcap,16
Rogaland,2020-03-01,revenue,48969
Rogaland,2020-03-01,revperroom,256
Rogaland,2020-03-01,revsofar,224419
Rogaland,2020-03-01,revroomsofar,379
Rogaland,2020-03-01,roompricesofar,899
